Wall time,Step,Value
1669651135.2184908,5999,19.81227684020996
1669656517.7203572,11999,29.505901336669922
1669661883.8977346,17999,42.86979675292969
1669667241.3512995,23999,52.3388557434082
1669672580.5443072,29999,54.95509719848633
1669677915.2758985,35999,58.29896545410156
1669683243.9625022,41999,61.232154846191406
1669688589.6039069,47999,60.95941162109375
1669694391.8743372,53999,64.4481201171875
1669699741.4098184,59999,65.47111511230469
1669705107.153962,65999,65.40473937988281
1669710458.5600274,71999,67.74185180664062
1669715773.3390162,77999,68.48210906982422
1669721088.1592124,83999,67.18677520751953
1669726399.6387172,89999,69.76559448242188
1669731692.5314147,95999,69.57233428955078
1669736987.1843724,101999,70.53656005859375
1669742274.1552594,107999,70.30184173583984
1669941310.3513196,107999,72.16694641113281
1669946716.326879,113999,72.13572692871094
1669952083.1391766,119999,72.91893005371094
1669957451.8706863,125999,73.16217041015625
1669962810.6290267,131999,72.79894256591797
1669968148.3820987,137999,73.69942474365234
1669973486.4998918,143999,74.13908386230469
1669981076.2148564,149999,73.70054626464844
1669986434.4240217,155999,73.67224884033203
1669991781.1254613,161999,74.19420623779297
1669997109.0859249,167999,75.0345687866211
1670002428.897972,173999,74.74722290039062
1670034426.619583,179999,75.92196655273438
1670043213.6198902,185999,78.5456771850586
1670051933.1028757,191999,78.9314956665039
1670060655.112437,197999,78.7860107421875
1670069361.5177965,203999,78.82731628417969
1670078062.579292,209999,78.63382720947266
1670086757.0176413,215999,78.7816390991211
1670095465.637315,221999,78.96467590332031
1670104168.9930565,227999,78.4512710571289
1670112863.094375,233999,78.73027801513672
1670124133.768767,239999,79.00010681152344
1670132847.9107811,245999,78.90233612060547
1670141583.6978817,251999,78.81598663330078
1670150321.2261858,257999,79.11134338378906
1670159061.353013,263999,78.84883880615234
1670167793.9090784,269999,78.75850677490234
1670178354.9571664,275999,78.90418243408203
1670187103.475532,281999,78.7202377319336
1670195859.401039,287999,78.6823959350586
1670253911.0004828,293999,77.98941040039062
1670262241.2130768,299999,78.55551147460938
1670271324.808908,305999,78.728515625
1670285410.9317985,311999,78.39971923828125
1670298810.4711022,317999,79.17513275146484
1670312207.9881506,323999,78.40782928466797
1670325575.4726086,329999,78.8077392578125
1670339564.1270201,335999,79.35327911376953
1670353674.3386662,341999,79.41644287109375
1670367821.3204298,347999,79.46366119384766
1670382014.6340547,353999,79.64002990722656
1670396136.1839662,359999,79.45269012451172
1670410226.13414,365999,79.30398559570312
1670435942.619161,371999,78.79488372802734
1670448702.5442286,377999,65.19863891601562
1670455201.0234292,377999,79.93453979492188
1670466379.2383473,383999,79.38153076171875
1670477487.7822883,389999,75.36406707763672
1670488400.984556,395999,72.23567199707031
1670499355.8679297,401999,73.37684631347656
1670515807.220034,383999,80.03876495361328
1670525876.1867647,389999,80.48851013183594
1670535910.7481925,395999,79.74409484863281
1670547983.3323655,395999,80.4856948852539
1670558647.8518136,401999,80.5794448852539
1670569277.67986,407999,80.28240203857422
1670579880.3566275,413999,80.13678741455078
1670590446.9231217,419999,80.14445495605469
1670600983.1071,425999,80.35799407958984
1670611514.4726489,431999,80.05794525146484
1670622032.096716,437999,79.85648345947266
