Wall time,Step,Value
1669651135.2435596,5999,0.002364667132496834
1669656517.7456193,11999,0.020053738728165627
1669661883.9425342,17999,0.05072174221277237
1669667241.3818007,23999,0.16296076774597168
1669672580.5559602,29999,0.4421801269054413
1669677915.285643,35999,0.47274449467658997
1669683243.9942238,41999,0.33156129717826843
1669688589.6363218,47999,0.956034243106842
1669694391.8854048,53999,1.1668357849121094
1669699741.4546642,59999,1.1078544855117798
1669705107.1863635,65999,2.3635714054107666
1669710458.5868886,71999,1.9789142608642578
1669715773.384073,77999,2.922511339187622
1669721088.223914,83999,1.26935613155365
1669726399.6512492,89999,3.7802894115448
1669731692.5564263,95999,1.493827223777771
1669736987.2253633,101999,3.073096990585327
1669742274.2168717,107999,2.302281618118286
1669941310.3647258,107999,2.5467793941497803
1669946716.3393483,113999,2.762991428375244
1669952083.1659372,119999,4.6329731941223145
1669957451.9351301,125999,3.0259666442871094
1669962810.6625276,131999,3.376763343811035
1669968148.3986948,137999,4.47169303894043
1669973486.5255132,143999,3.112412691116333
1669981076.2272778,149999,3.533465623855591
1669986434.4514263,155999,4.066004276275635
1669991781.1405034,161999,6.255063056945801
1669997109.1122174,167999,5.710770130157471
1670002428.9394877,173999,6.118868827819824
1670034426.6512418,179999,4.2590508460998535
1670043213.631706,185999,6.85763692855835
1670051933.1426163,191999,7.8547868728637695
1670060655.126187,197999,8.61676025390625
1670069361.5361474,203999,9.181394577026367
1670078062.5903256,209999,10.10092830657959
1670086757.0279486,215999,9.332647323608398
1670095465.6479123,221999,9.31283950805664
1670104169.0161915,227999,8.891955375671387
1670112863.1048527,233999,9.70048713684082
1670124133.8048596,239999,9.880220413208008
1670132847.9394326,245999,10.159523963928223
1670141583.7336257,251999,9.918523788452148
1670150321.2732544,257999,10.226856231689453
1670159061.3667924,263999,6.5980024337768555
1670167793.9200428,269999,8.457727432250977
1670178354.9669676,275999,9.128665924072266
1670187103.4844468,281999,9.63755989074707
1670195859.4138396,287999,9.955085754394531
1670253911.0206382,293999,9.03251838684082
1670262241.2494109,299999,9.841828346252441
1670271324.8522184,305999,11.508797645568848
1670285410.945736,311999,11.943074226379395
1670298810.5024278,317999,11.196701049804688
1670312208.0235312,323999,12.71664810180664
1670325575.4873462,329999,12.603080749511719
1670339564.159386,335999,13.360604286193848
1670353674.3691173,341999,11.771671295166016
1670367821.3328145,347999,11.663785934448242
1670382014.6809993,353999,11.38219928741455
1670396136.2201836,359999,12.039043426513672
1670410226.147223,365999,12.711237907409668
1670435942.633273,371999,9.440424919128418
1670448702.5847547,377999,6.985936641693115
1670455201.0541368,377999,15.689797401428223
1670466379.29678,383999,13.393410682678223
1670477487.8097088,389999,2.0855448246002197
1670488401.0489733,395999,1.421945333480835
1670499355.9057887,401999,7.773743152618408
1670515807.2308605,383999,15.102470397949219
1670525876.2187831,389999,17.600624084472656
1670535910.762482,395999,13.214961051940918
1670547983.3597722,395999,18.1137752532959
1670558647.8605134,401999,16.45279884338379
1670569277.7199068,407999,16.181447982788086
1670579880.3798208,413999,15.746145248413086
1670590446.9529727,419999,17.116323471069336
1670600983.1192484,425999,13.61762523651123
1670611514.499629,431999,15.953765869140625
1670622032.1496136,437999,15.068153381347656
