Wall time,Step,Value
1669651135.2446942,5999,0.0003076125867664814
1669656517.7464337,11999,0.0003076125867664814
1669661883.9434612,17999,0.0003076125867664814
1669667241.3819485,23999,0.0003076125867664814
1669672580.5566137,29999,0.0003076125867664814
1669677915.2858167,35999,0.0003076125867664814
1669683243.9951353,41999,0.0003076125867664814
1669688589.6372724,47999,0.0003076125867664814
1669694391.8860571,53999,0.0
1669699741.4556298,59999,0.0
1669705107.1873941,65999,0.0
1669710458.587039,71999,0.0
1669715773.3843143,77999,0.0
1669721088.2249188,83999,0.0
1669726399.6514757,89999,0.0
1669731692.5565937,95999,0.0
1669736987.226367,101999,0.0
1669742274.2170353,107999,0.0
1669941310.365558,107999,0.0
1669946716.3401704,113999,0.0
1669952083.1666033,119999,0.0
1669957451.9360547,125999,0.0
1669962810.6627614,131999,0.0
1669968148.3994112,137999,0.0
1669973486.526601,143999,0.0
1669981076.2274377,149999,0.0
1669986434.4522896,155999,0.0
1669991781.141402,161999,0.0
1669997109.118468,167999,0.0
1670002428.9401555,173999,0.0
1670034426.6517057,179999,32.21980667114258
1670043213.632464,185999,34.325035095214844
1670051933.143696,191999,35.241424560546875
1670060655.1272037,197999,35.766597747802734
1670069361.5366197,203999,36.05426788330078
1670078062.5904903,209999,36.2108154296875
1670086757.0281503,215999,36.332706451416016
1670095465.6489096,221999,36.38644027709961
1670104169.0171213,227999,36.473514556884766
1670112863.1055677,233999,36.500938415527344
1670124133.8058267,239999,36.660133361816406
1670132847.9402843,245999,36.81480026245117
1670141583.7345285,251999,36.884796142578125
1670150321.274026,257999,36.98558044433594
1670159061.3678262,263999,37.01499938964844
1670167793.920851,269999,37.067073822021484
1670178354.9671297,275999,37.09759521484375
1670187103.4852514,281999,37.27937316894531
1670195859.4140363,287999,37.34103775024414
1670253911.0211105,293999,37.490821838378906
1670262241.251733,299999,37.64372253417969
1670271324.8531916,305999,37.7379035949707
1670285410.9468246,311999,37.77724838256836
1670298810.5026095,317999,37.87520217895508
1670312208.0243957,323999,37.92658233642578
1670325575.4882276,329999,38.059600830078125
1670339564.159548,335999,38.19941711425781
1670353674.3699765,341999,38.32979202270508
1670367821.3383489,347999,38.44575119018555
1670382014.681706,353999,38.5628547668457
1670396136.2213392,359999,38.684959411621094
1670410226.148539,365999,38.75904846191406
1670435942.6334972,371999,38.80440902709961
1670448702.5855927,377999,28.171506881713867
1670455201.0543404,377999,40.79310607910156
1670466379.2979095,383999,39.077999114990234
1670477487.8098805,389999,36.72080612182617
1670488401.049861,395999,32.4803581237793
1670499355.9067645,401999,29.506147384643555
1670515807.2317822,383999,40.825050354003906
1670525876.219867,389999,40.85554885864258
1670535910.7634048,395999,40.83835983276367
1670547983.360494,395999,40.90810775756836
1670558647.8612905,401999,40.921836853027344
1670569277.7223852,407999,40.946048736572266
1670579880.3805897,413999,40.89286422729492
1670590446.9539552,419999,40.930660247802734
1670600983.1194253,425999,40.954856872558594
1670611514.5004056,431999,40.91867446899414
1670622032.1507087,437999,41.05199432373047
