Wall time,Step,Value
1669651135.2174456,5999,0.8902082443237305
1669656517.7185676,11999,2.1475534439086914
1669661883.8957937,17999,4.10284423828125
1669667241.3491213,23999,6.210905075073242
1669672580.543328,29999,7.738437652587891
1669677915.2747052,35999,9.068758964538574
1669683243.9605193,41999,10.25964069366455
1669688589.6025326,47999,12.344697952270508
1669694391.8572798,53999,13.593816757202148
1669699741.4078321,59999,14.706522941589355
1669705107.1526725,65999,16.245800018310547
1669710458.558327,71999,16.813875198364258
1669715773.337715,77999,17.765573501586914
1669721088.1578507,83999,18.55843734741211
1669726399.6373055,89999,20.02191734313965
1669731692.529585,95999,21.76371192932129
1669736987.1828134,101999,21.176576614379883
1669742274.1539745,107999,20.58319664001465
1669941310.349526,107999,22.895645141601562
1669946716.3257434,113999,23.326404571533203
1669952083.1372027,119999,24.5836238861084
1669957451.869095,125999,25.096620559692383
1669962810.6277473,131999,25.01262092590332
1669968148.380442,137999,26.07736587524414
1669973486.487654,143999,26.55609703063965
1669981076.2137547,149999,26.94977569580078
1669986434.422244,155999,27.695096969604492
1669991781.1241238,161999,27.993141174316406
1669997109.0839136,167999,28.450519561767578
1670002428.8969727,173999,28.427135467529297
1670034426.6177168,179999,28.622238159179688
1670043213.6177077,185999,34.73169708251953
1670051933.1010864,191999,35.17647933959961
1670060655.1113393,197999,35.454647064208984
1670069361.5167491,203999,35.541202545166016
1670078062.5778494,209999,35.726806640625
1670086757.015565,215999,35.33899688720703
1670095465.6354954,221999,35.556941986083984
1670104168.991409,227999,35.350406646728516
1670112863.0924447,233999,35.6661376953125
1670124133.7675104,239999,35.96172332763672
1670132847.9095793,245999,35.66227722167969
1670141583.6956139,251999,35.739898681640625
1670150321.2242308,257999,35.89076614379883
1670159061.3514557,263999,36.0852165222168
1670167793.9022658,269999,35.92416763305664
1670178354.955751,275999,35.760311126708984
1670187103.473356,281999,36.088409423828125
1670195859.4000494,287999,35.93404006958008
1670253910.998776,293999,34.911163330078125
1670262241.2112799,299999,35.21182632446289
1670271324.8073292,305999,35.76266098022461
1670285410.9306417,311999,35.56880187988281
1670298810.4696198,317999,36.01631164550781
1670312207.9864638,323999,35.93026351928711
1670325575.470843,329999,36.20675277709961
1670339564.125497,335999,37.45361328125
1670353674.3370147,341999,37.497962951660156
1670367821.3180928,347999,37.59834289550781
1670382014.6327658,353999,37.67323303222656
1670396136.1826751,359999,37.61674499511719
1670410226.1317627,365999,37.94120407104492
1670435942.6182468,371999,35.06596755981445
1670448702.5431316,377999,24.544700622558594
1670455201.0216663,377999,37.90519714355469
1670466379.2367449,383999,35.358070373535156
1670477487.7809994,389999,24.10042953491211
1670488400.9831595,395999,20.413583755493164
1670499355.867039,401999,22.972509384155273
1670515807.218366,383999,38.44692611694336
1670525876.1845274,389999,38.65580749511719
1670535910.7466462,395999,38.04537582397461
1670547983.3302505,395999,39.01095199584961
1670558647.8335183,401999,39.16023254394531
1670569277.6783507,407999,39.08515930175781
1670579880.3553107,413999,38.97317886352539
1670590446.9214456,419999,39.44974899291992
1670600983.1054232,425999,38.51094055175781
1670611514.4709306,431999,38.874366760253906
1670622032.0947194,437999,39.2979736328125
